,SEASON_ID,GAME_ID,GAME_DATE,HOME_TEAM,PTS_HOME,MIN_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,AWAY_TEAM,PTS_AWAY,MIN_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WINNING_TEAM,HOME_TEAM_ELO,AWAY_TEAM_ELO
42,22014,21400046,2014-11-03,DAL,118,242,44,82,0.537,14,25,0.56,16,20,0.8,7,29,36,24,5,9,17,17,5.0,BOS,113,241,45,102,0.441,11,31,0.355,12,16,0.75,22,27,49,29,9,6,17,21,-5.0,DAL,1503.23,1498.75
43,22014,21400048,2014-11-03,LAC,107,240,41,81,0.506,10,23,0.435,15,17,0.882,5,30,35,28,6,6,10,17,6.0,UTA,101,239,36,77,0.468,10,27,0.37,19,24,0.792,9,34,43,24,4,2,17,20,-6.0,LAC,1502.99,1497.05
44,22014,21400045,2014-11-03,MEM,93,239,31,76,0.408,4,14,0.286,27,37,0.73,9,43,52,19,5,6,11,24,12.0,NOP,81,239,29,86,0.337,4,24,0.167,19,29,0.655,14,35,49,14,5,3,12,30,-12.0,MEM,1506.03,1498.57
45,22014,21400047,2014-11-03,DEN,105,240,36,93,0.387,5,24,0.208,28,33,0.848,15,27,42,22,4,7,15,35,-5.0,SAC,110,240,34,81,0.42,2,9,0.222,40,47,0.851,14,36,50,21,8,5,15,28,5.0,SAC,1498.56,1502.68
46,22014,21400043,2014-11-03,PHI,93,239,33,74,0.446,11,22,0.5,16,23,0.696,6,25,31,19,12,4,17,20,-11.0,HOU,104,241,32,75,0.427,16,34,0.471,24,30,0.8,13,34,47,27,12,6,21,20,11.0,HOU,1493.6,1506.31
47,22014,21400044,2014-11-03,BKN,116,243,44,84,0.524,11,23,0.478,17,19,0.895,9,33,42,25,11,3,8,21,31.0,OKC,85,240,32,82,0.39,8,23,0.348,13,21,0.619,15,29,44,14,3,3,17,17,-31.0,BKN,1501.72,1498.34
48,22014,21400050,2014-11-04,MIA,91,238,31,74,0.419,12,28,0.429,17,27,0.63,13,21,34,16,7,2,15,21,-17.0,HOU,108,239,35,68,0.515,17,37,0.459,21,27,0.778,9,29,38,22,8,5,16,26,17.0,HOU,1503.15,1507.9
49,22014,21400053,2014-11-04,CHI,98,240,35,75,0.467,7,15,0.467,21,27,0.778,10,34,44,23,6,9,12,18,8.0,ORL,90,239,38,88,0.432,6,14,0.429,8,14,0.571,14,34,48,21,6,6,11,22,-8.0,CHI,1503.11,1493.65
50,22014,21400054,2014-11-04,NOP,100,240,38,81,0.469,5,18,0.278,19,19,1.0,11,36,47,26,5,6,12,19,9.0,CHA,91,240,37,80,0.463,6,21,0.286,11,13,0.846,6,28,34,23,6,1,12,15,-9.0,NOP,1500.19,1498.53
51,22014,21400055,2014-11-04,POR,101,238,37,75,0.493,8,25,0.32,19,25,0.76,9,39,48,21,7,4,11,20,19.0,CLE,82,241,31,85,0.365,9,21,0.429,11,14,0.786,13,28,41,18,5,3,14,19,-19.0,POR,1500.35,1498.23
52,22014,21400049,2014-11-04,IND,81,241,31,78,0.397,6,24,0.25,13,22,0.591,15,32,47,14,4,9,17,17,-6.0,MIL,87,240,37,83,0.446,7,21,0.333,6,7,0.857,9,30,39,20,12,5,12,22,6.0,MIL,1496.95,1500.22
53,22014,21400056,2014-11-04,LAL,106,239,35,88,0.398,6,16,0.375,30,41,0.732,18,31,49,16,7,8,12,25,-6.0,PHX,112,239,41,91,0.451,6,18,0.333,24,31,0.774,13,39,52,28,6,7,13,29,6.0,PHX,1491.83,1503.07
54,22014,21400052,2014-11-04,TOR,100,241,32,81,0.395,8,31,0.258,28,33,0.848,12,27,39,23,6,3,10,24,12.0,OKC,88,241,34,65,0.523,6,21,0.286,14,25,0.56,6,35,41,23,4,3,19,27,-12.0,TOR,1503.45,1496.79
55,22014,21400051,2014-11-04,NYK,83,240,30,81,0.37,8,15,0.533,15,19,0.789,15,28,43,16,5,4,18,23,-15.0,WAS,98,240,39,80,0.488,8,18,0.444,12,19,0.632,10,31,41,26,8,4,12,25,15.0,WAS,1499.48,1503.11
56,22014,21400066,2014-11-05,UTA,102,241,39,77,0.506,7,21,0.333,17,22,0.773,13,28,41,26,3,8,12,26,2.0,CLE,100,241,30,72,0.417,6,16,0.375,34,40,0.85,7,23,30,6,8,4,12,22,-2.0,UTA,1498.56,1496.9
