Player_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1628981,4,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2
1628981,5,1,1,1.0,0,0,0.0,2,2,1.0,0,2,2,0,0,0,1,0,4,1
1628981,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,7
1628981,5,2,2,1.0,0,0,0.0,1,1,1.0,1,0,1,0,0,0,1,0,5,-2
1628981,4,1,6,0.167,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,1,2,0
1629726,7,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0,-5
1629726,7,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,3,0,-10
1629726,3,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-8
1629726,17,1,5,0.2,1,5,0.2,0,0,0.0,0,0,0,1,1,0,0,1,3,-9
1629726,19,2,2,1.0,2,2,1.0,0,0,0.0,0,2,2,0,1,0,0,2,6,3
1629726,18,2,2,1.0,2,2,1.0,0,0,0.0,0,1,1,0,1,0,0,2,6,1
1629726,14,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0,0,0,0,1,4,6,-10
1629726,23,2,5,0.4,2,5,0.4,0,1,0.0,1,2,3,0,0,2,2,5,6,-8
1629726,17,2,4,0.5,2,4,0.5,0,0,0.0,0,1,1,0,0,0,1,1,6,16
1629726,18,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,4,0,-2
202083,12,0,2,0.0,0,2,0.0,1,2,0.5,0,1,1,0,2,0,0,0,1,-13
202083,11,0,1,0.0,0,1,0.0,4,4,1.0,0,1,1,0,1,0,0,2,4,-1
202083,10,0,3,0.0,0,1,0.0,3,3,1.0,0,0,0,0,0,0,0,0,3,-13
202083,18,1,5,0.2,0,4,0.0,0,0,0.0,1,4,5,1,2,0,2,1,2,-2
202083,14,1,6,0.167,1,4,0.25,2,2,1.0,1,1,2,1,2,0,0,3,5,-11
202083,20,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,3,2,8
202083,15,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,1,1,1,1,1,2,-9
202083,8,0,2,0.0,0,1,0.0,1,2,0.5,0,2,2,0,0,0,0,1,1,2
202083,7,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-3
202083,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,1,1,0,-1
1630180,36,5,7,0.714,4,6,0.667,3,4,0.75,3,6,9,1,0,0,0,2,17,-3
1630180,37,7,13,0.538,3,6,0.5,4,4,1.0,4,3,7,1,1,0,3,1,21,9
1630180,38,6,20,0.3,3,9,0.333,1,1,1.0,5,3,8,1,0,0,0,1,16,2
1630180,40,6,11,0.545,1,4,0.25,3,4,0.75,1,3,4,2,1,1,0,2,16,-8
1630180,38,5,14,0.357,0,5,0.0,2,3,0.667,3,7,10,2,2,0,1,1,12,-3
1630180,37,4,12,0.333,2,8,0.25,0,0,0.0,3,7,10,4,0,0,1,3,10,24
1630180,36,1,9,0.111,1,7,0.143,2,2,1.0,1,5,6,0,2,0,2,0,5,-10
1630180,42,8,15,0.533,2,7,0.286,3,5,0.6,2,2,4,1,2,0,1,1,21,9
1630180,32,3,11,0.273,2,6,0.333,1,1,1.0,4,5,9,0,0,0,1,1,9,16
1630180,40,6,14,0.429,2,8,0.25,2,2,1.0,2,8,10,2,2,0,2,2,16,-12
1641809,3,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,1,3,2
1628369,27,6,9,0.667,2,5,0.4,7,9,0.778,0,7,7,4,1,1,7,1,21,-7
1628369,37,13,26,0.5,2,8,0.25,4,7,0.571,1,11,12,6,1,0,2,2,32,-14
1628369,39,8,18,0.444,3,9,0.333,6,8,0.75,0,6,6,5,1,0,0,3,25,17
1628369,41,7,19,0.368,2,9,0.222,9,9,1.0,0,10,10,5,0,2,4,3,25,9
1628369,36,9,22,0.409,3,10,0.3,6,8,0.75,3,8,11,3,0,3,3,1,27,2
1628369,39,11,22,0.5,2,9,0.222,6,9,0.667,0,6,6,4,0,0,2,3,30,14
1628369,31,8,21,0.381,4,6,0.667,3,4,0.75,3,5,8,3,0,1,1,3,23,9
1628369,41,5,17,0.294,2,9,0.222,3,3,1.0,3,5,8,7,2,0,0,0,15,-9
1628369,30,9,16,0.563,5,10,0.5,7,9,0.778,0,4,4,2,1,0,2,0,30,19
1628369,41,6,15,0.4,1,6,0.167,12,13,0.923,0,8,8,7,0,1,1,0,25,10
201950,35,4,11,0.364,3,5,0.6,2,2,1.0,0,5,5,6,1,0,3,2,13,7
201950,38,3,9,0.333,1,5,0.2,2,2,1.0,1,5,6,3,1,1,1,1,9,-15
201950,35,7,11,0.636,1,3,0.333,1,1,1.0,0,6,6,5,2,1,1,1,16,7
201950,34,4,7,0.571,3,5,0.6,0,0,0.0,2,2,4,2,3,1,1,3,11,2
201950,37,7,11,0.636,1,3,0.333,0,0,0.0,2,1,3,4,0,0,2,2,15,11
201950,28,2,7,0.286,2,3,0.667,0,0,0.0,1,3,4,4,2,1,0,2,6,12
201950,34,6,12,0.5,2,5,0.4,0,0,0.0,1,5,6,0,0,2,3,2,14,17
201950,36,5,12,0.417,1,5,0.2,2,2,1.0,1,6,7,1,2,0,1,5,13,-14
201950,34,7,13,0.538,4,6,0.667,3,3,1.0,2,6,8,10,2,1,3,1,21,17
201950,28,8,12,0.667,4,6,0.667,0,0,0.0,3,3,6,7,1,0,1,1,20,22
1627759,35,8,20,0.4,1,4,0.25,3,4,0.75,1,3,4,0,4,2,3,3,20,10
1627759,31,14,23,0.609,2,7,0.286,0,1,0.0,2,7,9,0,1,2,3,6,30,-10
1627759,27,7,13,0.538,2,5,0.4,1,1,1.0,0,0,0,4,1,1,2,5,17,17
1627759,35,10,17,0.588,1,5,0.2,4,4,1.0,1,1,2,4,1,1,3,1,25,-6
1627759,36,10,20,0.5,2,5,0.4,0,0,0.0,2,3,5,5,2,0,2,3,22,4
1627759,30,8,15,0.533,0,5,0.0,2,3,0.667,0,3,3,4,0,1,2,0,18,20
1627759,34,12,20,0.6,5,8,0.625,2,2,1.0,1,4,5,6,1,1,2,4,31,11
1627759,41,10,22,0.455,1,4,0.25,7,8,0.875,3,5,8,7,0,1,4,2,28,-3
1627759,29,11,21,0.524,0,3,0.0,6,7,0.857,1,4,5,6,0,0,0,2,28,22
1627759,29,9,17,0.529,3,6,0.5,3,4,0.75,3,3,6,2,1,0,3,2,24,29
204001,29,7,13,0.538,3,6,0.5,4,4,1.0,1,2,3,1,2,0,2,2,21,13
204001,32,5,16,0.313,2,6,0.333,9,9,1.0,3,7,10,3,1,2,3,1,21,-3
204001,31,5,11,0.455,1,6,0.167,7,8,0.875,1,5,6,0,1,2,3,2,18,-1
204001,29,6,12,0.5,2,4,0.5,1,1,1.0,1,9,10,0,1,1,4,2,15,4
204001,29,7,11,0.636,3,4,0.75,7,8,0.875,2,7,9,2,0,6,3,3,24,22
204001,35,11,19,0.579,2,8,0.25,4,7,0.571,3,8,11,2,1,2,1,3,28,16
204001,36,13,21,0.619,3,9,0.333,6,7,0.857,0,8,8,1,1,0,1,4,35,12
204001,30,4,14,0.286,0,7,0.0,6,6,1.0,1,8,9,2,1,2,1,2,14,33
204001,35,12,18,0.667,2,3,0.667,8,9,0.889,6,4,10,2,0,3,1,1,34,3
204001,27,4,7,0.571,1,3,0.333,10,12,0.833,0,5,5,2,0,1,1,3,19,18
1628401,32,5,11,0.455,3,4,0.75,8,8,1.0,1,5,6,5,1,1,1,2,21,20
1628401,36,7,16,0.438,2,9,0.222,2,2,1.0,0,4,4,8,1,1,5,4,18,-4
1628401,32,10,16,0.625,6,10,0.6,4,4,1.0,2,1,3,3,2,2,0,4,30,21
1628401,37,5,9,0.556,5,8,0.625,2,2,1.0,0,4,4,4,1,2,1,3,17,-6
1628401,35,5,10,0.5,2,4,0.5,2,2,1.0,2,3,5,3,3,0,3,0,14,9
1628401,30,7,15,0.467,3,7,0.429,2,2,1.0,1,3,4,8,4,1,1,0,19,13
1628401,27,4,9,0.444,1,5,0.2,1,1,1.0,0,5,5,4,1,3,2,1,10,7
1628401,40,11,24,0.458,7,18,0.389,1,2,0.5,2,5,7,3,0,3,0,2,30,-1
1628401,29,10,13,0.769,6,9,0.667,2,3,0.667,1,1,2,7,1,3,1,1,28,16
1628401,29,5,12,0.417,3,10,0.3,5,5,1.0,0,3,3,3,0,3,2,2,18,27
1630202,23,3,7,0.429,2,6,0.333,2,2,1.0,0,2,2,5,1,0,0,1,10,-2
1630202,15,0,5,0.0,0,4,0.0,0,0,0.0,0,4,4,2,0,0,0,0,0,-4
1630202,19,2,4,0.5,1,3,0.333,0,0,0.0,1,1,2,2,0,0,0,2,5,-12
1630202,12,2,5,0.4,2,5,0.4,0,0,0.0,0,3,3,3,2,1,1,1,6,10
1630202,14,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,2,0,1,0,1,0,1
1630202,28,7,10,0.7,6,7,0.857,1,2,0.5,1,2,3,5,1,0,0,4,21,8
1630202,21,2,5,0.4,1,1,1.0,0,0,0.0,2,4,6,3,0,1,1,3,5,10
1630202,19,4,6,0.667,3,5,0.6,0,0,0.0,0,0,0,2,0,0,1,1,11,-10
1630202,29,6,12,0.5,6,11,0.545,2,3,0.667,0,4,4,4,1,0,1,1,20,10
1630202,23,3,8,0.375,3,5,0.6,0,0,0.0,1,3,4,3,0,0,0,3,9,13
1629052,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
1629052,16,4,4,1.0,1,1,1.0,2,2,1.0,1,0,1,1,0,0,2,4,11,-3
1629052,2,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-4
1629052,5,3,3,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,6,1
1629052,17,1,1,1.0,1,1,1.0,0,0,0.0,2,3,5,2,0,0,0,0,3,4
1629052,18,4,5,0.8,3,4,0.75,1,2,0.5,1,2,3,1,0,0,0,0,12,12
1629052,6,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,9
1629052,15,1,3,0.333,0,1,0.0,0,0,0.0,2,5,7,1,0,0,1,0,2,3
1629052,21,2,5,0.4,0,0,0.0,0,1,0.0,3,3,6,0,2,0,0,2,4,9
1629052,17,2,5,0.4,0,2,0.0,2,2,1.0,1,2,3,2,2,0,0,3,6,1
1631120,3,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2
1631120,3,0,0,0.0,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,0,2,-1
1641775,3,0,1,0.0,0,1,0.0,0,0,0.0,0,4,4,0,0,0,0,0,0,-1
1630573,26,3,5,0.6,3,4,0.75,2,2,1.0,1,4,5,1,1,1,3,2,11,-3
1630573,23,5,9,0.556,5,7,0.714,0,0,0.0,2,4,6,1,0,0,0,2,15,9
1630573,21,0,5,0.0,0,5,0.0,1,2,0.5,1,2,3,1,0,1,0,1,1,-10
1630573,20,3,5,0.6,3,4,0.75,0,0,0.0,1,2,3,1,0,0,0,1,9,14
1630573,18,3,3,1.0,3,3,1.0,0,0,0.0,0,0,0,1,0,0,0,2,9,9
1630573,32,4,8,0.5,3,6,0.5,0,0,0.0,2,5,7,4,4,0,1,1,11,19
1630573,17,2,5,0.4,0,3,0.0,0,0,0.0,1,1,2,0,1,0,1,0,4,12
1630573,21,0,7,0.0,0,6,0.0,0,0,0.0,1,2,3,1,0,0,0,2,0,1
1630573,35,4,6,0.667,2,4,0.5,0,0,0.0,0,5,5,1,0,0,0,3,10,24
1630573,19,1,5,0.2,1,5,0.2,0,0,0.0,0,2,2,4,0,0,0,3,3,11
1628436,8,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-9
1628436,17,3,5,0.6,0,0,0.0,0,0,0.0,4,0,4,2,1,4,1,2,6,-8
1628436,11,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,4,-8
1628436,8,1,3,0.333,0,0,0.0,2,2,1.0,3,1,4,0,0,0,0,0,4,2
1628436,33,9,11,0.818,0,0,0.0,2,2,1.0,5,3,8,3,0,3,1,3,20,-2
1628436,16,5,7,0.714,0,0,0.0,2,2,1.0,3,1,4,2,0,2,0,1,12,6
1628436,15,0,2,0.0,0,0,0.0,0,0,0.0,2,0,2,0,1,1,0,0,0,-1
1628436,11,1,3,0.333,0,0,0.0,0,0,0.0,4,3,7,0,1,1,1,1,2,13
1628436,16,1,2,0.5,0,0,0.0,2,2,1.0,3,1,4,3,1,0,1,1,4,3
1628436,10,1,4,0.25,0,0,0.0,3,4,0.75,2,0,2,2,0,2,1,2,5,-3
201143,33,7,9,0.778,2,4,0.5,4,4,1.0,2,4,6,3,1,2,1,4,20,10
201143,31,1,3,0.333,0,1,0.0,0,0,0.0,2,5,7,4,0,1,2,1,2,-2
201143,27,5,8,0.625,3,6,0.5,1,1,1.0,2,8,10,2,0,0,2,1,14,9
201143,22,1,3,0.333,0,2,0.0,0,0,0.0,2,3,5,1,1,0,0,0,2,13
201143,24,3,4,0.75,1,2,0.5,0,0,0.0,3,7,10,3,0,1,0,1,7,9
201143,24,3,7,0.429,2,3,0.667,0,0,0.0,1,7,8,2,0,1,0,2,8,19
201143,38,4,14,0.286,3,10,0.3,2,2,1.0,2,10,12,6,0,1,2,1,13,-8
201143,27,2,6,0.333,2,5,0.4,0,0,0.0,0,8,8,5,1,2,0,2,6,24
201143,23,2,4,0.5,2,4,0.5,0,0,0.0,0,6,6,1,0,1,0,3,6,1
201143,37,3,4,0.75,2,3,0.667,0,0,0.0,2,3,5,3,1,1,1,1,8,10
1630625,10,2,4,0.5,0,1,0.0,0,1,0.0,3,2,5,1,0,1,0,1,4,1
1630625,11,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,3,1,0,-2
1630625,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
1630625,2,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-4
1630625,4,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,6
